dx,gb,dz,gb_energy,variance,acquisition
0.2,1.0,0.1,1.025177428384615,0.010079237337949711,1.1157170040561768
0.2,1.0,0.2,1.0172968700372715,0.011930914838759937,1.1238140349370649
0.2,1.0,0.3,1.0255163413480721,0.012837687719409206,1.126870967251841
0.2,1.0,0.4,1.050689306834396,0.013286902460373336,1.1272659639414717
0.2,1.0,0.5,1.0869419765249477,0.014750840777118681,1.1232462156654563
0.2,1.0,0.6,1.1186882429782299,0.01596861991637445,1.1222294312328782
0.2,1.0,0.7,1.1379000192857722,0.014841236024523231,1.1362129833391972
0.2,1.0,0.8,1.151945431676784,0.012473602933300892,1.1701883033767428
0.2,1.0,0.9,1.1674600215947708,0.010509224514627113,1.2211822501828584
0.2,1.0,1.0,1.1801003331003916,0.010079307357801815,1.2795845091758449
0.2,1.0,1.1,1.1867385156584318,0.010649712480926672,1.3278773794217746
0.2,1.0,1.2,1.1925898815317721,0.010921898189723039,1.3508005877764104
0.2,1.0,1.3,1.1980886211848636,0.010032883000542515,1.3514815916372538
0.2,1.0,1.4,1.1931587909553927,0.009224947975482616,1.345047886978748
0.2,1.0,1.5,1.173341691748137,0.009481696563901586,1.334084758024602
0.2,1.0,1.6,1.1487292075798041,0.010572069627859778,1.306844607719468
0.2,1.0,1.7,1.129238986550814,0.012331865046582128,1.2630967741444703
0.2,1.0,1.8,1.1137304751964376,0.014112371644359266,1.2216463538742346
0.2,1.0,1.9,1.1002626804393174,0.013862239551110895,1.1938763513123138
0.2,1.0,2.0,1.093570544300676,0.012420533560823815,1.168744228725269
0.2,1.0,2.1,1.0956841951466498,0.011404857725525434,1.1357750855576336
0.2,1.0,2.2,1.1025639089095038,0.01075998048851726,1.1074754858663498
0.2,1.0,2.3,1.1158089561044326,0.009556559923668006,1.1060983878152353
0.2,1.0,2.4,1.1429102221869025,0.00812561278442566,1.1385447297148878
0.2,1.0,2.5,1.179353335700126,0.007280731536290437,1.1927077668296484
0.2,1.0,2.6,1.2057554254715097,0.00735890712943471,1.2475544594745318
0.2,1.0,2.7,1.2108656621195326,0.007739546981507461,1.280474746826373
0.2,1.0,2.8,1.2041002538518737,0.007876957606883426,1.2781798039363412
0.2,1.0,2.9,1.1987119175863825,0.00728040032005079,1.2494856314851952
0.2,1.0,3.0,1.1962994841112917,0.006679578980052427,1.2181794238838421
0.2,1.0,3.1,1.1937620942197213,0.006319609824952827,1.1986517768662388
0.2,1.0,3.2,1.1902861972798355,0.006920249025687008,1.1884080377944555
0.2,1.0,3.3,1.180323091010623,0.00875505604205101,1.1842527488126533
0.2,1.0,3.4,1.1546864924980764,0.010615456734246232,1.189008541271214
0.2,1.0,3.5,1.116790302194503,0.01192234772700373,1.1992779940547502
0.2,1.0,3.6,1.0844456175286012,0.014109960438024038,1.2052335750030627
0.3,1.0,0.0,1.0510628869449195,0.010514468297738097,1.1278383322486643
0.3,1.0,0.1,1.0260889413772971,0.011100065573227775,1.1581462742075104
0.3,1.0,0.2,1.0195569953353185,0.012929975273909967,1.1607800555705448
0.3,1.0,0.3,1.0272410244390935,0.013833594145190413,1.148518170201725
0.3,1.0,0.4,1.0500685639057066,0.014251141741048887,1.1295516140202868
0.3,1.0,0.5,1.0826658702496805,0.015418313233449946,1.1093054186225786
0.3,1.0,0.6,1.1106968723689699,0.016124278893072753,1.0999553809379818
0.3,1.0,0.7,1.1276352010877146,0.014709214031636799,1.113835712988113
0.3,1.0,0.8,1.1409139641795107,0.012312846224541875,1.1533702025988295
0.3,1.0,0.9,1.1557399542548963,0.010476033299533893,1.2123708541626015
0.3,1.0,1.0,1.1669924356487704,0.010318581333982935,1.2781314793150598
0.3,1.0,1.1,1.1722647119338254,0.011244843026801548,1.3307275625038668
0.3,1.0,1.2,1.177183804159869,0.011829342563834604,1.3541455776533107
0.3,1.0,1.3,1.181200608120752,0.011084563306785158,1.3518899357347511
0.3,1.0,1.4,1.1734328845121058,0.010069154900542727,1.3389276078447547
0.3,1.0,1.5,1.150227996755757,0.010038015995233289,1.31768886551157
0.3,1.0,1.6,1.123307690297386,0.011091992481815928,1.279062309521362
0.3,1.0,1.7,1.1039349457521608,0.012975356799248258,1.228588106074941
0.3,1.0,1.8,1.091905366895636,0.014853153177187476,1.1900204776597587
0.3,1.0,1.9,1.0850136852597168,0.014645147716978524,1.1749616082610455
0.3,1.0,2.0,1.0851190907007893,0.01299220528894814,1.1678234992057728
0.3,1.0,2.1,1.089826276868715,0.011659212496098826,1.1512816434821322
0.3,1.0,2.2,1.0928930104753574,0.010855538150589917,1.1313749843672145
0.3,1.0,2.3,1.0980305552537357,0.009655908208574671,1.127270921213446
0.3,1.0,2.4,1.1172276468260154,0.008365784091740755,1.1484299176829873
0.3,1.0,2.5,1.1498395886115922,0.007767231600323082,1.1894104046934764
0.3,1.0,2.6,1.1782540179871013,0.00796666706306192,1.2350267428384267
0.3,1.0,2.7,1.190034036307092,0.008464464896842692,1.2643677573401633
0.3,1.0,2.8,1.190082204873475,0.0087767260006997,1.2625096338084971
0.3,1.0,2.9,1.186200863593836,0.008194002885643335,1.2353996297459129
0.3,1.0,3.0,1.1780968062429409,0.007437841169965976,1.2037344946898842
0.3,1.0,3.1,1.1661310265991787,0.007126919378549839,1.1798521711753998
