x,y,variance,acquisition
12.0,50.0,787.4111924335821,27.172148281757195,786.2372482195626
12.0,52.0,779.4591196352353,15.131705660599659,777.7616225990079
12.0,54.0,770.5498825256467,7.539771801085102,768.8917182410017
12.0,58.0,751.5301570726284,17.421863942852987,751.7005695501614
12.0,60.0,742.5752300624947,38.95469768465574,744.3219913158204
12.0,62.0,734.8446924912358,70.79793600828597,738.3229862904667
12.0,64.0,728.9270726814649,108.25487712306611,734.013951323952
12.0,66.0,725.281320754781,143.23531442788197,731.5810372780583
12.0,68.0,724.1821585494195,165.94872528892483,731.0867645099542
12.0,70.0,725.6903255870044,168.22208551583918,732.4926306247119
12.0,72.0,729.6510922444179,147.65645552944204,735.6972826590467
12.0,74.0,735.7199204137005,111.1077273462094,740.5804222609565
12.0,76.0,743.4101015273719,75.77578730894649,747.0413425023897
12.0,78.0,752.1542326874404,66.78604640807177,755.0221564349077
12.0,80.0,761.3699226501094,111.4356363240147,764.5091629532569
12.0,82.0,770.5202878259903,231.73001857917012,775.510728701301
12.0,84.0,779.1614533684083,437.7472220717444,788.0155332855212
12.0,86.0,786.9720219528768,724.2259534508205,801.9398836907824
12.0,88.0,793.762761838669,1071.5775186610847,817.076007359385
14.0,0.0,659.5443864793895,938.4145232068855,623.7965505733474
14.0,2.0,657.4027680171716,692.2755385630514,628.6883582354608
14.0,4.0,659.9633350756235,500.5732311376682,637.8015437312588
14.0,6.0,667.161021686348,360.27402909980935,650.7460795004449
14.0,8.0,678.5621868519877,261.04492903030916,666.8868257140878
14.0,10.0,693.4017269798621,189.7867034753374,685.3850562784862
14.0,12.0,710.6588045360932,135.260789390254,705.2636916504091
14.0,14.0,729.1621216968354,90.9163712346266,725.4900973293064
14.0,16.0,747.7113251473465,55.040117445867665,745.0669567467462
14.0,18.0,765.1986730625039,28.720497650296075,763.1196781375808
14.0,20.0,780.7149652430313,13.08682359659722,778.9685623381364
14.0,24.0,803.6102207028953,8.646096301263428,802.560447266317
14.0,26.0,810.6538307885036,12.949295135048253,810.1811903427066
14.0,28.0,815.0062840055465,16.981842214611156,815.2883826425978
14.0,30.0,817.1044811850064,19.215062108506785,818.2561041886576
14.0,32.0,817.4787621265285,19.94473876775857,819.5047172561679
14.0,34.0,816.6559516584807,20.417701001623882,819.4274634314785
14.0,36.0,815.0746432317483,21.66282336517616,818.3330625447647
14.0,38.0,813.0253696972275,23.70331329343489,816.4131093795753
14.0,40.0,810.6238231018257,25.511194292735013,813.7382697949216
14.0,42.0,807.8196031268036,25.625640450650618,810.2818232641882
14.0,44.0,804.4370507946539,23.04194374722724,805.9640250535404
14.0,46.0,800.2395388377554,17.91320721888826,800.7070412838825
14.0,48.0,795.0049801179841,11.767249749822616,794.4885543705556
14.0,52.0,781.031756982888,7.246066106157807,779.5810979217699
14.0,54.0,772.4919021891089,14.632658714535495,771.3870874981267
14.0,56.0,763.3465613859848,31.190057598816725,763.1897684706103
14.0,58.0,754.1128689315368,57.350399533146046,755.4188307672365
14.0,60.0,745.4025779472712,91.70103702948772,748.4928782782206
14.0,62.0,737.8499372234877,130.5419118871305,742.771127417366
14.0,64.0,732.0341930286797,167.64979954599374,738.5185427946548
14.0,66.0,728.4087225612654,194.7146372481916,735.891192762554
14.0,68.0,727.2473161763961,202.96197521536652,734.9440131521752
14.0,70.0,728.6150023121036,186.11336118567004,735.6580832047565
14.0,72.0,732.3666539638858,144.10021125624917,737.980030774751
14.0,74.0,738.1721737971229,86.17159346607008,741.8632706717386
14.0,76.0,745.563078913836,31.720303174660557,747.3001011352904
